id,Staðarlýsing,Breidd,Lengd
423,Snæfell,64.8179,-15.6241
424,"Austurleið, vegamót",64.8956,-15.5245
425,Þrælaháls,64.9600,-15.2936
426,Gilsárvötn,65.0257,-15.1336
427,Klifá,65.0766,-14.8030
428,Mjónes,65.1487,-14.6473
429,1km frá EDR,65.3646,-14.3491
430,1km frá EDR,65.3818,-14.3407
431,2km frá EDR,65.3907,-14.3361
432,4km frá EDR,65.4085,-14.3302
433,6km frá EDR,65.4263,-14.3232
434,8km frá EDR,65.4440,-14.3175
435,,65.4294,-14.3231
436,Hólmatunguvegamót,65.6277,-14.4388
437,Hellisheiði (syðst),65.7141,-14.4339
438,Hellisheiði (nyrst),65.7282,-14.5041
439,Hofsárbrú,65.7073,-14.8541
440,2km 010gr frá VP,65.6983,-14.8618
441,4km 014gr frá VP,65.6815,-14.8756
442,8km 028gr frá VP,65.6530,-14.9366
443,1.06km 152gr frá HA,65.6380,-15.0518
444,Teigur,65.6472,-15.0325
445,4.00km 205gr frá HA,65.6621,-15.0040
446,8.08km 213gr frá HA,65.6904,-14.9459
447,1km 143gr frá VP,65.7235,-14.8668
448,2km 174gr frá VP,65.7342,-14.8590
449,Sandvíkurheiði,65.8536,-14.8115
450,0.5km 040gr frá SK,65.9000,-14.6550
451,1.0km 038gr frá SK,65.8963,-14.6614
452,2.0km 038gr frá SK,65.8893,-14.6752
453,8.0km 043gr frá SK,65.8505,-14.7669
454,Staðarheiði,65.9654,-14.8478
455,Miðfjörður,66.0333,-15.1008
456,0.5km 268gr frá TH,66.2526,-15.2504
457,1.0km 266gr frá TH,66.2531,-15.2392
458,2.0km 019gr frá TH,66.2354,-15.2759
459,4.0km 035gr frá TH,66.2232,-15.3133
460,Gunnarsstaðir,66.1471,-15.4287
461,Svalbarð,66.2068,-15.6698
462,Kollavík,66.2987,-15.8372
463,Sveinungsvíkurvegamót,66.4001,-15.8780
464,Hraunhafnartangi,66.5248,-16.0263
465,Sigurðarstaðir,66.4884,-16.3035
466,Leirhöfn,66.3879,-16.5058
467,Kópasker,66.3169,-16.4239
468,Núpur,66.1536,-16.4540
469,Ærlækur,66.0869,-16.4318
470,Austara Land,66.0127,-16.4184
471,Réttarfoss,65.8691,-16.3806
472,Hólselsmelar,65.7245,-16.3320
473,Selás,65.3461,-14.4973
474,Uppsalir,65.2789,-14.3703
475,Skáli,64.7579,-14.3861
476,Djúpivogur,64.6547,-14.3349
477,Hofsárbrú,64.5452,-14.5937
478,Fagurhólsmýri (leirur),63.8637,-16.6407
479,Ystabælisfjara,63.5139,-19.6738
480,Fornusandar,63.5595,-19.9725
481,Steinsholtsá,63.6843,-19.6072
482,Langanes,63.6864,-19.7039
483,Illagil,63.6775,-19.8048
484,Stóra Mörk,63.6716,-19.8964
485,Neðri Dalur,63.6354,-19.9666
486,Þingvallaútsýnisplan,64.2111,-21.2606
487,Þingvallahlið,64.2781,-21.0994
488,Tröllháls,64.3729,-21.0116
489,Reyðarvatn,64.4698,-20.9313
490,Kaldidalur (varða),64.5762,-20.8062
491,Kaldidalur (nyrst),64.6591,-20.7094
492,Surtshellir,64.7749,-20.7243
493,Norðlingafljót,64.8515,-20.5622
494,Húsafell,64.7011,-20.8704
495,Stóriás,64.6951,-21.0493
496,Arnhólsstaðir,64.6924,-21.2405
497,Deildartunga,64.6717,-21.4140
498,Baulan (bílaplan),64.6743,-21.6651
499,Hreðavatnsskáli,64.7677,-21.5429
500,Grjótháls,64.7940,-21.3899
501,Háheiði,64.8686,-21.5161
502,Fellsendi,64.9750,-21.5628
503,Harrastaðagil,65.0330,-21.7291
504,Dunká,65.0127,-21.9617
505,Hvammsfjörður,65.0259,-22.1682
506,Valshamar,65.0448,-22.3640
507,Stóri Langidalur,65.0148,-22.5639
508,Stykkishólmsvegamót,64.9977,-22.7600
509,Bjarnarhafnarfjall,64.9671,-22.9614
510,Kverná,64.9219,-23.2344
511,Neðri Tunga,64.9159,-23.5219
512,Ólafsvík,64.8921,-23.6777
513,Ingjaldshóll,64.9161,-23.8549
514,Beruvík,64.8152,-23.9543
515,Öxl,64.8236,-23.4380
516,Fróðárheiði,64.8473,-23.4824
517,Hellnar,64.7508,-23.6460
518,Hraunsmúli,64.8204,-23.1828
519,Staðarstaður,64.8310,-22.9765
520,Miðhraun,64.8480,-22.6690
521,Laxá,64.8380,-22.5695
522,Hjarðarfellsdalur,64.9224,-22.8009
523,Gerðuberg,64.8465,-22.3689
524,Heydalsheiði,64.9547,-22.2374
525,Hítará,64.7307,-22.1836
526,Bretavatn,64.6758,-22.0712
527,Brókarvatn,64.6021,-22.0268
528,Kotasæla,64.6344,-21.7690
529,Borgarnes,64.5577,-21.8968
